t,tau,detuning,population,dP_dtau,heat_power,mutual_information
9.875999999999999446e+00,7.900800000000000267e+00,4.811164502738271009e-01,2.229892171831906467e-01,-6.640888149711825575e-03,-2.756678093165558854e-03,1.061330723047873903e+00
9.878000000000000114e+00,7.902400000000000091e+00,4.811312661395323320e-01,2.229785924159949917e-01,-6.640073344613825999e-03,-2.756261159248333138e-03,1.061304195947847973e+00
9.880000000000000782e+00,7.904000000000000803e+00,4.811460706042244295e-01,2.229679689519490082e-01,-6.639259211498359410e-03,-2.755844584130417996e-03,1.061277670798580708e+00
9.881999999999999673e+00,7.905599999999999739e+00,4.811608636763263780e-01,2.229573467899778061e-01,-6.638445749687187092e-03,-2.755428367439409932e-03,1.061251147597823019e+00
9.884000000000000341e+00,7.907200000000000450e+00,4.811756453642552223e-01,2.229467259290082159e-01,-6.637632958502567328e-03,-2.755012508803235047e-03,1.061224626343329813e+00
9.886000000000001009e+00,7.908800000000001162e+00,4.811904156764225116e-01,2.229361063679676513e-01,-6.636820837268237253e-03,-2.754597007850553229e-03,1.061198107032857330e+00
9.887999999999999901e+00,7.910400000000000098e+00,4.812051746212340775e-01,2.229254881057846083e-01,-6.636009385308893303e-03,-2.754181864210543916e-03,1.061171589664162695e+00
9.890000000000000568e+00,7.912000000000000810e+00,4.812199222070900340e-01,2.229148711413889428e-01,-6.635198601948799971e-03,-2.753767077512324531e-03,1.061145074235007479e+00
9.891999999999999460e+00,7.913599999999999746e+00,4.812346584423848883e-01,2.229042554737113990e-01,-6.634388486514728421e-03,-2.753352647386178229e-03,1.061118560743153472e+00
9.894000000000000128e+00,7.915200000000000458e+00,4.812493833355074857e-01,2.228936411016837760e-01,-6.633579038332914658e-03,-2.752938573462280613e-03,1.061092049186365571e+00
9.896000000000000796e+00,7.916800000000001170e+00,4.812640968948410647e-01,2.228830280242390660e-01,-6.632770256730903535e-03,-2.752524855371473855e-03,1.061065539562410676e+00
9.897999999999999687e+00,7.918400000000000105e+00,4.812787991287630351e-01,2.228724162403113718e-01,-6.631962141037070838e-03,-2.752111492745063295e-03,1.061039031869057681e+00
9.900000000000000355e+00,7.920000000000000817e+00,4.812934900456454224e-01,2.228618057488355175e-01,-6.631154690580617211e-03,-2.751698485214816147e-03,1.061012526104077258e+00
9.902000000000001023e+00,7.921600000000001529e+00,4.813081696538543675e-01,2.228511965487479374e-01,-6.630347904691116269e-03,-2.751285832412773708e-03,1.060986022265243189e+00
9.903999999999999915e+00,7.923200000000000465e+00,4.813228379617504604e-01,2.228405886389856483e-01,-6.629541782700116605e-03,-2.750873533971915329e-03,1.060959520350330143e+00
9.906000000000000583e+00,7.924800000000001177e+00,4.813374949776886846e-01,2.228299820184869995e-01,-6.628736323937916945e-03,-2.750461589524821806e-03,1.060933020357115675e+00
9.907999999999999474e+00,7.926400000000000112e+00,4.813521407100184168e-01,2.228193766861915337e-01,-6.627931527737691321e-03,-2.750049998705384954e-03,1.060906522283380005e+00
9.910000000000000142e+00,7.928000000000000824e+00,4.813667751670832051e-01,2.228087726410393210e-01,-6.627127393431898189e-03,-2.749638761147318346e-03,1.060880026126903353e+00
9.912000000000000810e+00,7.929600000000000648e+00,4.813813983572212130e-01,2.227981698819722634e-01,-6.626323920354452307e-03,-2.749227876485057197e-03,1.060853531885471490e+00
9.913999999999999702e+00,7.931200000000000472e+00,4.813960102887647752e-01,2.227875684079328178e-01,-6.625521107840245949e-03,-2.748817344353563646e-03,1.060827039556869078e+00
9.916000000000000369e+00,7.932800000000000296e+00,4.814106109700407310e-01,2.227769682178643851e-01,-6.624718955224159246e-03,-2.748407164387909989e-03,1.060800549138883886e+00
9.918000000000001037e+00,7.934400000000001008e+00,4.814252004093703130e-01,2.227663693107119480e-01,-6.623917461842322198e-03,-2.747997336223803860e-03,1.060774060629306792e+00
9.919999999999999929e+00,7.935999999999999943e+00,4.814397786150689251e-01,2.227557716854211833e-01,-6.623116627031977628e-03,-2.747587859497536630e-03,1.060747574025929563e+00
9.922000000000000597e+00,7.937600000000000655e+00,4.814543455954466422e-01,2.227451753409387669e-01,-6.622316450130124633e-03,-2.747178733845411381e-03,1.060721089326546629e+00
9.923999999999999488e+00,7.939199999999999591e+00,4.814689013588077104e-01,2.227345802762127347e-01,-6.621516930475601116e-03,-2.746769958904615033e-03,1.060694606528954642e+00
9.926000000000000156e+00,7.940800000000000303e+00,4.814834459134508804e-01,2.227239864901918998e-01,-6.620718067406988240e-03,-2.746361534312342749e-03,1.060668125630951586e+00
