x_k,direct_quadrature_coupling,final_mode_population,final_mode_population_density,broadened_reconstruction_weight
-1.912500000000000000e+01,2.913682527654733612e-03,2.470833488190620613e-08,4.941666976381240961e-07,7.133446804428211705e-06
-1.907499999999999929e+01,2.921311798662901658e-03,2.062393440209203127e-08,4.124786880418406254e-07,7.170864310880785252e-06
-1.902499999999999858e+01,2.928981106388991573e-03,1.711786386806586142e-08,3.423572773613172283e-07,7.208576918711463865e-06
-1.897500000000000142e+01,2.936690766650531734e-03,1.480419502920657519e-08,2.960839005841314971e-07,7.246587738477025650e-06
-1.892500000000000071e+01,2.944441098577105578e-03,1.412061099314095344e-08,2.824122198628190489e-07,7.284899921815991250e-06
-1.887500000000000000e+01,2.952232424699123038e-03,1.525476402092714423e-08,3.050952804185428846e-07,7.323516662101252562e-06
-1.882499999999999929e+01,2.960065070937155460e-03,1.810890141032622025e-08,3.621780282065243917e-07,7.362441195104860617e-06
-1.877499999999999858e+01,2.967939366690843222e-03,2.230923204339298764e-08,4.461846408678597263e-07,7.401676799675173367e-06
-1.872500000000000142e+01,2.975855644854810949e-03,2.725951783958045903e-08,5.451903567916091938e-07,7.441226798426644586e-06
-1.867500000000000071e+01,2.983814241896147208e-03,3.223131562473595005e-08,6.446263124947190011e-07,7.481094558442568991e-06
-1.862500000000000000e+01,2.991815497866786525e-03,3.647728827837948460e-08,7.295457655675896390e-07,7.521283491990964841e-06
-1.857499999999999929e+01,2.999859756488173872e-03,3.935002903103841488e-08,7.870005806207682447e-07,7.561797057253983657e-06
-1.852499999999999858e+01,3.007947365163660992e-03,4.040757706726247051e-08,8.081515413452493838e-07,7.602638759071070671e-06
-1.847500000000000142e+01,3.016078675055425783e-03,3.948850741725062890e-08,7.897701483450125781e-07,7.643812149696196186e-06
-1.842500000000000071e+01,3.024254041137041348e-03,3.674394759861700481e-08,7.348789519723400698e-07,7.685320829569457698e-06
-1.837500000000000000e+01,3.032473822207546344e-03,3.262045708244918821e-08,6.524091416489837378e-07,7.727168448103363644e-06
-1.832499999999999929e+01,3.040738381005733768e-03,2.779540188592788676e-08,5.559080377185577220e-07,7.769358704484136729e-06
-1.827499999999999858e+01,3.049048084194538009e-03,2.307406451439774136e-08,4.614812902879548273e-07,7.811895348488326536e-06
-1.822500000000000142e+01,3.057403302470799045e-03,1.926403550069860966e-08,3.852807100139721800e-07,7.854782181315127815e-06
-1.817500000000000071e+01,3.065804410592664567e-03,1.704640338963440664e-08,3.409280677926881062e-07,7.898023056434680592e-06
-1.812500000000000000e+01,3.074251787444710633e-03,1.686421038004007117e-08,3.372842076008013969e-07,7.941621880452743427e-06
-1.807499999999999929e+01,3.082745816079117927e-03,1.884635153786550944e-08,3.769270307573101887e-07,7.985582613992110810e-06
-1.802499999999999858e+01,3.091286883797644391e-03,2.277985798409955432e-08,4.555971596819910600e-07,8.029909272591122002e-06
-1.797500000000000142e+01,3.099875382198751146e-03,2.813608614994620161e-08,5.627217229989240058e-07,8.074605927619632297e-06
-1.792500000000000071e+01,3.108511707229594766e-03,3.414786811711782293e-08,6.829573623423564056e-07,8.119676707212899029e-06
-1.787500000000000000e+01,3.117196259256931057e-03,3.992648697108526910e-08,7.985297394217053555e-07,8.165125797223683884e-06
-1.782499999999999929e+01,3.125929443131789023e-03,4.460073701032522147e-08,8.920147402065044029e-07,8.210957442193064456e-06
-1.777499999999999858e+01,3.134711668233910141e-03,4.745639988241558774e-08,9.491279976483116754e-07,8.257175946340344718e-06
-1.772500000000000142e+01,3.143543348563049896e-03,4.805390155705023134e-08,9.610780311410045474e-07,8.303785674572474346e-06
-1.767500000000000071e+01,3.152424902778098829e-03,4.630487916437129740e-08,9.260975832874259481e-07,8.350791053513468193e-06
-1.762500000000000000e+01,3.161356754275829010e-03,4.249449056420987757e-08,8.498898112841975515e-07,8.398196572554210448e-06
-1.757499999999999929e+01,3.170339331259672787e-03,3.724464349305211051e-08,7.448928698610421573e-07,8.446006784923187295e-06
-1.752499999999999858e+01,3.179373066802165457e-03,3.142262813970609722e-08,6.284525627941219444e-07,8.494226308778537690e-06
-1.747500000000000142e+01,3.188458398918440732e-03,2.600844682633633602e-08,5.201689365267266807e-07,8.542859828322008414e-06
-1.742500000000000071e+01,3.197595770633257419e-03,2.194103201936122236e-08,4.388206403872244472e-07,8.591912094935225057e-06
-1.737500000000000000e+01,3.206785630045068392e-03,1.996738547076639973e-08,3.993477094153279813e-07,8.641387928338814249e-06
