a,ell,positive_heatlike_integral_over_gamma0,probability_backflow,final_population,min_Pdot,max_Pdot
1.000000000000000021e-02,3.157804584143061172e-02,1.799226623341987263e+01,9.168722255880723537e-01,2.526205470802694308e-01,-1.156656746244050793e-01,6.815400388643420848e-02
1.000000000000000021e-02,3.354815841656336173e-02,1.724088952279915432e+01,8.779563605646819591e-01,2.362857035015259732e-01,-1.191067316848301721e-01,6.825883951900922619e-02
1.000000000000000021e-02,3.564118371334409202e-02,1.648410090015232754e+01,8.388025870745510204e-01,2.195338984389322845e-01,-1.226254790172605774e-01,6.832061627312685514e-02
1.000000000000000021e-02,3.786479009414649155e-02,1.572855710173780963e+01,7.997593390928667834e-01,2.025231782597960994e-01,-1.262243248051283240e-01,6.833943469733028131e-02
1.000000000000000021e-02,4.022712434034501905e-02,1.498217998557931985e+01,7.612422099166655798e-01,1.854691920728917531e-01,-1.299053843716830303e-01,6.831530970027073491e-02
1.000000000000000021e-02,4.273684150024484318e-02,1.424826055307823225e+01,7.234194764422943180e-01,1.686010284268489590e-01,-1.336710261935283028e-01,6.824794843809772749e-02
1.000000000000000021e-02,4.540313659918413652e-02,1.352959536938139351e+01,6.864330589178675446e-01,1.521201946686248363e-01,-1.375233997111316997e-01,6.813663635816095965e-02
1.000000000000000021e-02,4.823577832798812970e-02,1.282879659719964671e+01,6.504148697071868712e-01,1.361762823069919137e-01,-1.414649681808697601e-01,6.798018609676886870e-02
1.000000000000000021e-02,5.124514483320120189e-02,1.214828166708670842e+01,6.154863686135613188e-01,1.208662454230681471e-01,-1.454976739982494771e-01,6.777752416419562109e-02
1.000000000000000021e-02,5.444226174022428338e-02,1.149023863077817076e+01,5.817570617613054829e-01,1.062539765210231135e-01,-1.496237181711938535e-01,6.752719157040602826e-02
1.000000000000000021e-02,5.783884254866560048e-02,1.085702715857521383e+01,5.493455445613718569e-01,9.239784833662892383e-02,-1.538452312380357012e-01,6.722713143874818609e-02
1.000000000000000021e-02,6.144733154790400081e-02,1.025040960013654434e+01,5.183389239338732635e-01,7.937106794032419699e-02,-1.581641835473330815e-01,6.687560905651934728e-02
1.000000000000000021e-02,6.528094941009757179e-02,9.670454453445701759e+00,4.887345448318220487e-01,6.726494157432973131e-02,-1.625829200808673047e-01,6.647055668709814236e-02
1.000000000000000021e-02,6.935374162767990458e-02,9.116729404279439564e+00,4.605042667872225048e-01,5.617547489743071609e-02,-1.671031188666996792e-01,6.600965547154295787e-02
1.000000000000000021e-02,7.368062997280773463e-02,8.588745001841571636e+00,4.336175781141522467e-01,4.618271417007131091e-02,-1.717266640203870542e-01,6.549110158287785310e-02
1.000000000000000021e-02,7.827746716729556964e-02,8.085796405478729909e+00,4.080337190137573455e-01,3.733435979199785371e-02,-1.764554502564774641e-01,6.491240731941090580e-02
1.000000000000000021e-02,8.316109496333533302e-02,7.607321570804557176e+00,3.837198249452057897e-01,2.963996524065967003e-02,-1.812912966012786842e-01,6.427163818591634381e-02
1.000000000000000021e-02,8.834940584779542305e-02,7.151955729670325113e+00,3.606020034175348998e-01,2.307428836995556801e-02,-1.862356400749702601e-01,6.356654739662193077e-02
1.000000000000000021e-02,9.386140859616946830e-02,6.719232453802400862e+00,3.386536319840667275e-01,1.758404783347135986e-02,-1.912904681439324683e-01,6.279514842271106956e-02
1.000000000000000021e-02,9.971729791634936779e-02,6.307436005354276176e+00,3.177836962484989480e-01,1.309357371457569620e-02,-1.964572622207670649e-01,6.195600162295966662e-02
1.000000000000000021e-02,1.059385284373813990e-01,5.916405128800595214e+00,2.979821103771777002e-01,9.508792593328183745e-03,-2.017380723020788524e-01,6.104718350545842304e-02
1.000000000000000021e-02,1.125478933142830401e-01,5.544249451510675719e+00,2.791497629329415808e-01,6.721424957857045565e-03,-2.071331283458934525e-01,6.006731629125276056e-02
1.000000000000000021e-02,1.195696077369105548e-01,5.190075369354731016e+00,2.612393315212516720e-01,4.614724171931939775e-03,-2.126447908546449383e-01,5.901573416395795857e-02
1.000000000000000021e-02,1.270293976488344745e-01,4.853232558787559547e+00,2.442162379557031304e-01,3.070294556785825232e-03,-2.182735560257764440e-01,5.789123585288410978e-02
