t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
1.107142857142857206e+00,9.571454705294151211e-01,3.839874264580140917e-01,1.634540222655601394e+00,2.225476682394821049e-01,6.174961535003196111e-01,2.842972835895140715e+00
1.114285714285714324e+00,9.688507786239848318e-01,3.795189388593304125e-01,1.642940869892468125e+00,2.249201394984162439e-01,6.192929823581070359e-01,2.868494377342269530e+00
1.121428571428571441e+00,9.806159805309981881e-01,3.750799857093451428e-01,1.651310498508345770e+00,2.272973662745783885e-01,6.210548381722238442e-01,2.894028500918008007e+00
1.128571428571428559e+00,9.924408548706495914e-01,3.706708322306079273e-01,1.659649159741221958e+00,2.296792262291371955e-01,6.227821660605998844e-01,2.919574428351972006e+00
1.135714285714285676e+00,1.004325180636397530e+00,3.662917321751923416e-01,1.667956906861022270e+00,2.320655979297119309e-01,6.244754126359970403e-01,2.945131391933116127e+00
1.142857142857142794e+00,1.016268737209348627e+00,3.619429279402158750e-01,1.676233795133593274e+00,2.344563608564118884e-01,6.261350257350973836e-01,2.970698634299216323e+00
1.149999999999999911e+00,1.028271304372388117e+00,3.576246506861877061e-01,1.684479881784809674e+00,2.368513954075594785e-01,6.277614541545502025e-01,2.996275408230144599e+00
1.157142857142857029e+00,1.040332662324050084e+00,3.533371204580585401e-01,1.692695225964815808e+00,2.392505829050996513e-01,6.293551473939656971e-01,3.021860976444962432e+00
1.164285714285714146e+00,1.052452591692137229e+00,3.490805463088434424e-01,1.700879888712417687e+00,2.416538055997000667e-01,6.309165554058372427e-01,3.047454611402838243e+00
1.171428571428571486e+00,1.064630873547082635e+00,3.448551264256950466e-01,1.709033932919627352e+00,2.440609466755487567e-01,6.324461283523727939e-01,3.073055595107859972e+00
1.178571428571428603e+00,1.076867289415061046e+00,3.406610482583009025e-01,1.717157423296373553e+00,2.464718902548491686e-01,6.339443163692104477e-01,3.098663218917701911e+00
